/Vout+ X,/Vout+ Y,/Vout- X,/Vout- Y
0,1.022838803820978,0,1.799999999574095
1,1.025743469135184,1,1.796902609363738
2,1.028650012409738,2,1.79380520574539
3,1.031558222013778,3,1.790707912138852
4,1.034468106141389,4,1.78761060168943
5,1.037379673246191,5,1.784513372676565
6,1.040292935036553,6,1.78141619170016
7,1.043207890870019,7,1.778319059975108
8,1.046159869870023,8,1.775129566805965
9,1.049078598239097,9,1.772032525666387
10,1.051999061131928,10,1.768935528611483
11,1.054921268271909,11,1.76583858444406
12,1.057845235089234,12,1.762741685052071
13,1.060770954970757,13,1.759644836871021
14,1.063698455277562,14,1.756548036937818
15,1.066627739850854,15,1.753451321986245
16,1.069520580734173,16,1.750447060640937
17,1.072453068066088,17,1.747350418262143
18,1.075387366804887,18,1.744253823725185
19,1.078323482958312,19,1.741157279615744
20,1.081261436515708,20,1.73806078529039
21,1.084201225528686,21,1.734964340753188
22,1.08714287332538,22,1.731867946208506
23,1.090086387742199,23,1.728771601756417
24,1.093073449341441,24,1.725582760232655
25,1.096021200885469,25,1.722486519133841
26,1.098970864493625,26,1.719390304275365
27,1.101922452658291,27,1.716294152031644
28,1.104875979140795,28,1.713198050524891
29,1.107831452971406,29,1.710101999776157
30,1.110788890576038,30,1.707006000013337
31,1.113748303572638,31,1.703910051320579
32,1.11666401821052,32,1.700906776846427
33,1.119626872065443,33,1.697810940458496
34,1.122591729781294,34,1.694715155699485
35,1.125558602644552,35,1.691619422665015
36,1.128527504933953,36,1.688523741603915
37,1.131498447465495,37,1.685428112558178
38,1.134471445078413,38,1.682332535784147
39,1.13744650678551,39,1.679237011390986
40,1.14047403148522,40,1.676048837991963
41,1.143453900817671,41,1.672953408849423
42,1.146435884122835,42,1.669858032626609
43,1.149419992575511,43,1.666762709447628
44,1.152406237259038,44,1.66366743959498
45,1.155394628763291,45,1.660572223139624
46,1.158385177369571,46,1.657477060373736
47,1.161377892689259,47,1.654381951439192
48,1.164316956836358,48,1.651379680753072
49,1.167313295573811,49,1.648284690740158
50,1.170311836223117,50,1.64518975532805
51,1.173312521893661,51,1.642094874680879
52,1.176315420575449,52,1.639000049126439
53,1.179320516298613,53,1.63590527877742
54,1.182327833931172,54,1.632810563962767
55,1.185337313137091,55,1.629715904880873
56,1.188411130728979,56,1.626528431555947
57,1.191425782541022,57,1.623433873705123
58,1.194442750168148,58,1.620339372382133
59,1.197461884658441,59,1.617244927803413
60,1.200483283250334,60,1.614150540354514
61,1.203506796811879,61,1.611056212271386
62,1.206532547503192,62,1.607961937753527
63,1.209560448592225,63,1.604867723254809
64,1.212522500073947,64,1.601866528363576
65,1.215552971257932,65,1.598772466386501
66,1.218586415945261,66,1.595678415743148
67,1.221621957780718,67,1.592584448376745
68,1.224659583165937,68,1.589490540870194
69,1.227699234670782,69,1.586396693472321
70,1.230740923798981,70,1.583302906674048
71,1.233784577937674,71,1.580209180814686
72,1.236906219055402,72,1.577022459517014
73,1.239954627803978,73,1.573928844501994
74,1.243004913701133,74,1.570835291699736
75,1.246057000672185,75,1.567741801505183
76,1.249110871625497,76,1.564648374495179
77,1.252166459320591,77,1.561555011030764
78,1.255223728061984,78,1.558461711723195
79,1.258282595596814,79,1.55536847703573
80,1.261260233069373,80,1.552368466157381
81,1.264321393790513,81,1.549275375566605
82,1.267384034067716,82,1.546182351469982
83,1.270448069530401,83,1.543089394414051
84,1.273513466333736,84,1.539996505135947
85,1.276580157655159,85,1.536903684162728
86,1.279648087290108,86,1.533810932281671
87,1.282717197641213,87,1.530718250139349
88,1.28587566988449,88,1.52753237237628
89,1.288947512779961,89,1.524439818112372
90,1.29202033614876,90,1.521347335871175
91,1.295094086789537,91,1.518254926422315
92,1.298168713644035,92,1.515162590738774
93,1.301244167683615,93,1.512070329594952
94,1.304320402331178,94,1.508978144040028
95,1.307397373164433,95,1.50588603499609
96,1.310383428664295,96,1.502887384075175
97,1.313461467459236,97,1.499795445961199
98,1.316540152410815,98,1.496703587753741
99,1.319619444952461,99,1.493611810561719
100,1.322699366832795,100,1.490520115728643
101,1.325779715881247,101,1.487428504372353
102,1.328860631132567,102,1.48433697797819
103,1.331942027505769,103,1.481245537880442
104,1.335117048933039,104,1.478060685542711
105,1.338199437179648,105,1.474969407362167
106,1.341282218237118,106,1.47187822017537
107,1.344365371690476,107,1.46878712564007
108,1.347448909528935,108,1.465696125671902
109,1.350532721834487,109,1.462605222045293
110,1.353616884826767,110,1.459514416872302
111,1.356701352568954,111,1.456423712204562
112,1.359692498303446,112,1.453426733129766
113,1.362777395503333,113,1.450336251572384
114,1.365862671221265,114,1.447245877581821
115,1.368948205659045,115,1.444155613697193
116,1.372034024529013,116,1.441065462775328
117,1.375120006300526,117,1.437975427596785
118,1.378206252265826,118,1.434885511349717
119,1.381292716293635,119,1.43179571723793
120,1.384473232707918,120,1.428612308833567
121,1.387560107427653,121,1.425522756161554
122,1.390647174943939,122,1.422433337176816
123,1.393734427653311,123,1.419344056038267
124,1.396821925194561,124,1.416254917348352
125,1.399909463424675,125,1.413165925771234
126,1.402997234907007,126,1.410077086528613
127,1.406085168304035,127,1.40698840502249
128,1.406988411673199,128,1.406085166826954
129,1.410077088001662,129,1.402997233413858
130,1.413165934720029,130,1.399909461921543
131,1.416254918800587,131,1.396821857582857
132,1.419344057580159,132,1.393734426129967
133,1.422433338607904,133,1.390647173410411
134,1.425522757618738,134,1.387560105884478
135,1.428612310243242,135,1.384473230251453
136,1.431795722535457,136,1.381292714730999
137,1.434885512737353,137,1.378206250693449
138,1.437975429217833,138,1.375120004719094
139,1.441065464141095,139,1.372033985879171
140,1.444155616194439,140,1.368948204059411
141,1.447245878925519,141,1.365862669612534
142,1.450336253759915,142,1.36277739388618
143,1.45342673445124,143,1.359692388885138
144,1.456423999441225,144,1.35670135093449
145,1.459514418171796,145,1.353616883183846
146,1.462605225448498,146,1.350532720183943
147,1.465696126948892,147,1.347448877010333
148,1.468787132196711,148,1.344365370024825
149,1.471878221429724,149,1.341282216564054
150,1.474969413288622,150,1.33819943550003
151,1.478060686774328,151,1.335117046939049
152,1.481245545898639,152,1.331942025815677
153,1.484336979186577,153,1.328860629436635
154,1.487428507707857,154,1.325779714180686
155,1.490520116902369,155,1.322699308563269
156,1.493611830734237,156,1.319619443243307
157,1.496703588916208,157,1.316540150697806
158,1.499795465352841,158,1.313461465743632
159,1.50288738521457,159,1.310383425182504
160,1.505886046423851,160,1.307397371439246
161,1.508978145156667,161,1.304320400604
162,1.512070361205673,162,1.301244165955935
163,1.515162591832211,163,1.298168711839832
164,1.518254927533029,164,1.295094085062247
165,1.521347336941355,165,1.292020334422343
166,1.524439819202985,166,1.288947511056199
167,1.527532373423153,167,1.28587566789001
168,1.530718271636751,168,1.282717195934632
169,1.533810933304823,169,1.279648085588309
170,1.536903685252621,170,1.276580155960171
171,1.539996506135706,171,1.273513464152492
172,1.54308939964888,172,1.270448067850561
173,1.546182352446311,173,1.267384024635999
174,1.54927540993455,174,1.264321392129357
175,1.55236846711024,175,1.261260227292015
176,1.555368480265745,176,1.258282593943724
177,1.558461712652906,177,1.255223717927929
178,1.561555012342298,178,1.252166457692315
179,1.56464837540135,179,1.249110867314805
180,1.567741803093936,180,1.246056999071903
181,1.570835292582342,181,1.243004902821025
182,1.573928845695384,182,1.239954626234559
183,1.577022460376025,183,1.236906214251417
184,1.580209181838934,184,1.233784576417289
185,1.583302907509105,185,1.230740912249949
186,1.58639669429554,186,1.22769923318597
187,1.589490541681611,187,1.224659571383766
188,1.592584449930283,188,1.221621956333101
189,1.595678416530903,189,1.218586414510356
190,1.598772446119949,190,1.215552969848761
191,1.601866529127664,191,1.212521643439545
192,1.604867725025538,192,1.209560447249433
193,1.60796193849423,193,1.206532534628783
194,1.611056211010914,194,1.203506795466692
195,1.614150541071495,195,1.20048324173501
196,1.617244928583436,196,1.197461883353655
197,1.620339373075378,197,1.194442727925987
198,1.623433876810289,198,1.191425781276656
199,1.626528432225439,199,1.188411047232797
200,1.629715905538593,200,1.185337311927156
201,1.632810564608172,201,1.182327811790213
202,1.635905279413084,202,1.179320515128067
203,1.639000049748058,203,1.176315419346717
204,1.64209487529054,204,1.17331252076189
205,1.645189755925879,205,1.170311814401755
206,1.64828469132606,206,1.167313294480067
207,1.651379681327089,207,1.164316954158398
208,1.654381959994122,208,1.161377891620057
209,1.65747706092424,209,1.158385176316109
210,1.660572223678392,210,1.155394627730739
211,1.663667440121651,211,1.152406236184963
212,1.666762710912267,212,1.149419991578594
213,1.669858033129435,213,1.146435883141011
214,1.672953409363473,214,1.143453899855329
215,1.676048838470935,215,1.140474030203713
216,1.679237015494953,216,1.137446505867594
217,1.682332536238955,217,1.134471443213165
218,1.685428113314407,218,1.131498446579539
219,1.688523742034851,219,1.128527503574524
220,1.691619423893742,220,1.125558601789436
221,1.694715156106541,221,1.122591728540641
222,1.697810942431937,222,1.119626871240047
223,1.700906777229592,223,1.116664017134597
224,1.703910233174589,224,1.113748302764464
225,1.707006000372898,225,1.11078888978265
226,1.710102012569949,226,1.10783145219301
227,1.713198050860544,227,1.104875977131083
228,1.716294153906081,228,1.101922451906755
229,1.719390304587104,229,1.098970863754093
230,1.7224865076639,230,1.096021200159802
231,1.725582760520473,231,1.093073448610488
232,1.728771610740342,232,1.090086387048975
233,1.731867946472107,233,1.087142872643319
234,1.734964341041811,234,1.084201224858948
235,1.738060785530055,235,1.081261431919285
236,1.741157280763443,236,1.07832348231094
237,1.74425382394091,237,1.07538736454324
238,1.747350419894585,238,1.07245306744015
239,1.750447060832715,239,1.069520579901827
240,1.753451286896907,240,1.066627739239824
241,1.756548037105932,241,1.063698454314795
242,1.759644838299117,242,1.060770954378421
243,1.762741685196226,243,1.057845228915561
244,1.765838584055258,244,1.054921267698759
245,1.768935528731676,245,1.05199906056701
246,1.772032523951511,246,1.049078597684341
247,1.775129566902177,247,1.046159869321032
248,1.77831905980498,248,1.043207890338565
249,1.781416191772115,249,1.040292931360793
250,1.784513372802064,250,1.037379672731251
251,1.787610601737406,251,1.034468105632436
252,1.790707879584243,252,1.031558221519285
253,1.79380520454355,253,1.028650011918531
254,1.796902578595885,254,1.025743468656762
255,1.799999999574098,255,1.022838583663538
