/Vout+ X,/Vout+ Y,/Vout- X,/Vout- Y
0,1.025620673390389,0,1.799999999575131
1,1.028526554921714,1,1.796918179378607
2,1.031434207034636,2,1.793836400758966
3,1.034343401613976,3,1.790754580067261
4,1.037254152976933,4,1.787672861004558
5,1.040166466515877,5,1.784591186107422
6,1.043080352343134,6,1.781509554515569
7,1.045995811412165,7,1.778427968475001
8,1.048945507748452,8,1.77526210817254
9,1.051864465540022,9,1.772180605009481
10,1.054785032470183,10,1.769099139578223
11,1.057707217337556,11,1.766017722552665
12,1.060631036795687,12,1.762936347993246
13,1.06355647707147,13,1.759855018894542
14,1.066483571128436,14,1.756773734145955
15,1.069412318861843,15,1.753692513851495
16,1.07230737432113,16,1.750695676642159
17,1.075239092257189,17,1.747614534285589
18,1.078172487583057,18,1.744533436970376
19,1.081107570203376,19,1.741452384742407
20,1.084044352195554,20,1.738371377790332
21,1.086982838185363,21,1.735290416199652
22,1.089923044421343,22,1.732209499885051
23,1.092864979644467,23,1.72912865643115
24,1.095847183744103,24,1.725963360160736
25,1.098793042257061,25,1.722882576348249
26,1.101740671056969,26,1.719801830386042
27,1.104690081434444,27,1.716721134359315
28,1.107641285713961,28,1.713640484469691
29,1.110594292319937,29,1.710559880724533
30,1.113549115771062,30,1.707479323338303
31,1.116505766614839,31,1.704398812374998
32,1.119422012390938,32,1.701402861845463
33,1.122381845663765,33,1.698322453112704
34,1.125343548043664,34,1.695242091319753
35,1.12830708041188,35,1.692161776547039
36,1.13127250577707,36,1.689081509027885
37,1.134239813989971,37,1.686001288788342
38,1.137209021157356,38,1.682921116068495
39,1.140180135420669,39,1.679840990960809
40,1.143199751310452,40,1.676676327385967
41,1.146175302857044,41,1.673596288735116
42,1.149152804786578,42,1.670516298187741
43,1.152132266797124,43,1.667436355849584
44,1.155113698425686,44,1.664356461984316
45,1.158097108779904,45,1.661276616643575
46,1.161082525011117,46,1.6581968200997
47,1.164069899798958,47,1.655117072469726
48,1.167007699590675,48,1.652122036331159
49,1.169998423665954,49,1.649042396900422
50,1.172991177188456,50,1.645962807087397
51,1.175985903016511,51,1.642883267033452
52,1.178982662420944,52,1.639803777042921
53,1.18198143981776,53,1.636724337196678
54,1.184982256534884,54,1.633644947812544
55,1.187985056602069,55,1.630565609059149
56,1.191047264590021,56,1.627401579631825
57,1.19405481466989,57,1.624322332708377
58,1.197064474983703,58,1.621243137134227
59,1.20007611751059,59,1.618163993108825
60,1.203089825721003,60,1.615084900953343
61,1.206105471196771,61,1.612005860961927
62,1.209123165352817,62,1.608926873129763
63,1.212142797176252,63,1.605847938039593
64,1.215101858904567,64,1.602853881220881
65,1.218123612857287,65,1.599775065049317
66,1.221148307148296,66,1.596696298568794
67,1.224174883577462,67,1.593617587986697
68,1.227203358692883,68,1.590538931747165
69,1.230233670881473,69,1.587460330059607
70,1.233265825604487,70,1.584381783373869
71,1.236299753296557,71,1.581303291986962
72,1.239405502248167,72,1.578139943174491
73,1.242443717857734,73,1.575061552218974
74,1.245483620617387,74,1.571983217707522
75,1.248525137911398,75,1.568904939986413
76,1.251568254055966,76,1.565826719581736
77,1.254612906534874,77,1.562748556802259
78,1.257659060840069,78,1.559670452204567
79,1.260706639373172,79,1.55659240619543
80,1.26367949052016,80,1.553599425977882
81,1.266729110897802,81,1.550521510757902
82,1.269780040031884,82,1.547443655808605
83,1.27283222131236,83,1.544365861610503
84,1.275885602346957,84,1.541288128831688
85,1.278940129474865,85,1.538210457927799
86,1.281995751418207,86,1.535132849611227
87,1.285052416103669,87,1.532055304450851
88,1.288190982264999,88,1.528892717685346
89,1.291250048305643,89,1.52581528812106
90,1.29430997674495,90,1.522737923750087
91,1.29737072022953,91,1.519660625249672
92,1.300432233473166,92,1.516583393495857
93,1.303494473170896,93,1.513506229162204
94,1.30655739822335,94,1.510429133191824
95,1.309620969572715,95,1.507352106396153
96,1.312601348417534,96,1.504360360356933
97,1.315665865235598,97,1.501283488283387
98,1.318730950534539,98,1.498206688410169
99,1.321796569213079,99,1.495129961713104
100,1.324862740965533,100,1.492053309383847
101,1.327929286992411,101,1.488976732428832
102,1.330996330999089,102,1.485900232143535
103,1.334063797996885,103,1.482823809711725
104,1.337216776894612,104,1.479662145866123
105,1.340285110839116,105,1.476585869134565
106,1.343353791354577,106,1.473509674408632
107,1.346422800608899,107,1.470433563144397
108,1.349492152040372,108,1.467357537044106
109,1.352561740946921,109,1.464281597657303
110,1.35563164269319,110,1.461205746857617
111,1.3587018142773,111,1.458129986444775
112,1.361686784991619,112,1.455139752510263
113,1.364757332823622,113,1.452064193061843
114,1.367828223634832,114,1.448988730237707
115,1.370899343966649,115,1.445913366262726
116,1.373970721940087,116,1.442838103659581
117,1.377042234461916,117,1.439762944854316
118,1.380113986968435,118,1.436687892657345
119,1.383185933516994,119,1.433612949870761
120,1.386343718605494,120,1.430452576077377
121,1.389416029234774,121,1.427377848690516
122,1.392488512092785,122,1.424303240812566
123,1.395561160305342,123,1.421228756070597
124,1.398634034420279,124,1.41815439849722
125,1.40170693062825,125,1.415080172146546
126,1.404780042569431,126,1.41200608158523
127,1.407853299414999,127,1.408932131512349
128,1.408932136838453,128,1.40785329805783
129,1.412006082933676,129,1.404780041200861
130,1.415080180832942,130,1.401706929250537
131,1.41815439982652,131,1.398633966803449
132,1.421228757494107,132,1.39556115890903
133,1.424303242122423,133,1.392488510687064
134,1.427377850025416,134,1.389416027820197
135,1.430452577367562,135,1.386343716177147
136,1.433612955228338,136,1.383185932084512
137,1.436687893927357,137,1.380113985526917
138,1.439762946339685,138,1.377042233012073
139,1.442838104909525,139,1.373970682455669
140,1.445913368597467,140,1.370899342499963
141,1.448988731467403,141,1.367828222159682
142,1.45206419506149,142,1.364757331340689
143,1.455139753719579,143,1.361686680494436
144,1.458129987806486,144,1.358701812778299
145,1.461205748046714,145,1.355631641186259
146,1.464281600820251,146,1.352561739432923
147,1.467357538212577,147,1.349492120643876
148,1.470433569233061,148,1.346422799080763
149,1.473509675556358,149,1.343353789819443
150,1.476585874496804,150,1.340285109297837
151,1.479662146993014,151,1.337216775003873
152,1.482823810829223,152,1.33406379644548
153,1.485900233249211,153,1.330996329442033
154,1.488976733682354,154,1.327929285430896
155,1.492053310468518,155,1.324862689247483
156,1.495129979626549,156,1.321796567643091
157,1.498206689473785,157,1.318730948960639
158,1.501283505335256,158,1.315665863659015
159,1.504360361399421,159,1.312601343965613
160,1.507352118248162,160,1.309620967986877
161,1.510429134213409,161,1.306557396635229
162,1.5135062568695,162,1.303494471581941
163,1.516583394496197,163,1.300432231823584
164,1.519660626263913,164,1.297370718640004
165,1.522737924729135,165,1.294309975155659
166,1.525815289116375,166,1.291250046718329
167,1.528892718643057,167,1.28819098039237
168,1.532055325487889,168,1.285052414530612
169,1.535132850547289,169,1.281995749848886
170,1.538210458918724,170,1.278940127911285
171,1.541288129746337,171,1.275885600406917
172,1.544365866313807,172,1.272832219761491
173,1.547443656701807,173,1.269780038487859
174,1.550521511640347,174,1.266729109362895
175,1.553599426849605,175,1.263679484760881
176,1.556592409309387,176,1.260706637844778
177,1.559670453055038,177,1.257659051006883
178,1.562748557971269,178,1.254612905028095
179,1.565826720410664,179,1.251568250462836
180,1.568904941454237,180,1.248525136429227
181,1.571983218514884,181,1.245483609993727
182,1.575061553694429,182,1.242443716402904
183,1.578139943960261,183,1.239405498527826
184,1.581303292773657,184,1.23629975188574
185,1.584381784137783,185,1.233265814234316
186,1.587460330813909,186,1.2302336695026
187,1.590538932489447,187,1.227203349149471
188,1.593617661316316,188,1.22417488223214
189,1.596696299289427,189,1.221148295040429
190,1.599775065489071,190,1.21812361154681
191,1.602853881919859,191,1.215100853086279
192,1.605847940494805,192,1.212142795958534
193,1.608926873807277,193,1.209123142565235
194,1.612005861678186,194,1.20610546994447
195,1.615084901609152,195,1.203089790891098
196,1.61816399380822,196,1.200076116295252
197,1.621243137768316,197,1.197064454832995
198,1.624322337979567,198,1.19405481349163
199,1.627401580244181,199,1.191047197337405
200,1.630565609664169,200,1.187985055473909
201,1.633644948402928,201,1.184982236390634
202,1.636724337785226,202,1.181981438725908
203,1.639803777611543,203,1.178982661317547
204,1.642883267593348,204,1.175985901960466
205,1.645962807634254,205,1.172991157163038
206,1.649042397436365,206,1.16999842264508
207,1.652122036856232,207,1.16700769308607
208,1.655117073059345,208,1.164069898800822
209,1.6581968206032,209,1.161082505558771
210,1.661276617139933,210,1.158097107815745
211,1.664356462466008,211,1.155113697436726
212,1.667436357393874,212,1.152132265866047
213,1.670516298647619,213,1.14915280386948
214,1.673596289194612,214,1.146175301958097
215,1.676676327824023,215,1.14319975012986
216,1.679840994587039,216,1.140180134563033
217,1.68292111648451,217,1.137209019896805
218,1.68600128939459,218,1.134239813162096
219,1.689081509422063,219,1.131272503398776
220,1.692161777642991,220,1.128307079612744
221,1.695242091692088,221,1.125343530514729
222,1.698322455228346,222,1.122381844892342
223,1.70140286219594,223,1.119422011347044
224,1.70439900936304,224,1.116505765859434
225,1.707479323667124,225,1.113549115029481
226,1.71055988111708,226,1.110594291592488
227,1.713640484776643,227,1.107641283967183
228,1.716721136069027,228,1.104690080731996
229,1.719801830671118,229,1.101740670365682
230,1.722882576626574,230,1.098793041578654
231,1.72596336042393,231,1.095847183058283
232,1.729128647183169,232,1.092864978996728
233,1.732209500126157,233,1.089923043783751
234,1.735290428550283,234,1.086982837559118
235,1.738371378009545,235,1.084044349643234
236,1.741452385213391,236,1.081107569598288
237,1.744533437167691,237,1.078172486988119
238,1.747614536731928,238,1.075239091672111
239,1.750695676817569,239,1.07230737356488
240,1.753692495014894,240,1.069412318290204
241,1.756773734299657,241,1.066483569899062
242,1.759855020695522,242,1.06355647651787
243,1.76293634812503,243,1.060631028583269
244,1.766017721812887,244,1.05770721680196
245,1.769099139688093,245,1.054785031927271
246,1.772180602492912,246,1.051864465021688
247,1.77526210826048,247,1.048945507235357
248,1.778427968062914,248,1.045995810915576
249,1.781509554581383,249,1.043080349501993
250,1.784591207622188,250,1.040166466032283
251,1.787672861048438,251,1.037254152501272
252,1.79075458085916,252,1.034343401147547
253,1.79383634289742,253,1.0314342042757
254,1.796918149911294,254,1.028526554474853
255,1.799999999575134,255,1.02562044442264
