Power (J=31) X,Power (J=31) YRe,Power (J=31) YReImag,Power (J=63) X,Power (J=63) YRe,Power (J=63) YReImag,Power (J=127) X,Power (J=127) YRe,Power (J=127) YReImag,Power (J=255) X,Power (J=255) YRe,Power (J=255) YReImag,Power (J=383) X,Power (J=383) YRe,Power (J=383) YReImag,Power (J=511) X,Power (J=511) YRe,Power (J=511) YReImag,Power (J=639) X,Power (J=639) YRe,Power (J=639) YReImag,Power (J=767) X,Power (J=767) YRe,Power (J=767) YReImag,Power (J=895) X,Power (J=895) YRe,Power (J=895) YReImag,Power (J=989) X,Power (J=989) YRe,Power (J=989) YReImag
0,-0.0003504908258635075,0,0,-0.0002861371317333809,0,0,-0.0001932828450861016,0,0,-7.412398532237306e-05,0,0,9.8312050541435e-06,0,0,5.545000250109763e-05,0,0,3.925158008082901e-05,0,0,-2.99527807673246e-05,0,0,-0.000139768646500111,0,0,-0.0002448701043819465,0
122070.3125,-1.289044690005583e-06,-5.397682641720465e-05,122070.3125,9.013539250858987e-05,1.269412677509601e-05,122070.3125,0.0002156014523650419,-0.0001942218194896674,122070.3125,0.0004756144120442835,1.243681174165295e-05,122070.3125,0.0006391086227999015,-0.0001903184455910718,122070.3125,0.0006995222376975448,-0.0001294660246074543,122070.3125,0.0006621010354617124,-5.670873557356992e-05,122070.3125,0.00051473505272158,-7.229110239540085e-05,122070.3125,0.0002841871808137588,-5.363230489884518e-05,122070.3125,7.940460248221488e-05,0.0001259006134532336
244140.625,-8.793819009856498e-05,4.251884122353106e-06,244140.625,5.586896074501306e-05,5.704687813260842e-06,244140.625,0.0002417651449146359,-1.67299776121124e-06,244140.625,0.0004755435410686793,2.37668754871952e-06,244140.625,0.0006355845925793251,8.490586601601557e-07,244140.625,0.0006941505370080864,1.161492675117508e-06,244140.625,0.0006608891511942738,-1.129588646086875e-07,244140.625,0.0005049145572071007,-2.685379481009342e-07,244140.625,0.0002737020211015357,-9.780028909856587e-07,244140.625,7.420897848277303e-05,-2.286458468114037e-06
366210.9374999999,-1.045902191236847e-05,3.591444208519821e-05,366210.9374999999,6.070850268539724e-05,4.064410644004479e-05,366210.9374999999,0.0002380113349765436,-0.0001118092609377289,366210.9374999999,0.0004842609207308628,9.887738958201295e-05,366210.9374999999,0.0006343178179792331,-1.142787859039416e-05,366210.9374999999,0.0006960028301647305,2.207214081260691e-05,366210.9374999999,0.0006590154095594892,0.0001053642568396883,366210.9374999999,0.0005122136118685487,-1.574389907350639e-05,366210.9374999999,0.0002847581266974172,-8.869735959818933e-05,366210.9374999999,8.072066147000935e-05,0.0001157959421879448
488281.2499999999,1.341763061669313e-05,-1.635568640165271e-06,488281.2499999999,8.848749305524329e-05,8.868749074725614e-07,488281.2499999999,0.0002428486315957686,4.018117780968704e-06,488281.2499999999,0.0004909727178824705,5.313811990768079e-07,488281.2499999999,0.0006494312225914954,-3.919665116324592e-07,488281.2499999999,0.0007228031739510914,-2.617618812494702e-06,488281.2499999999,0.0006704603722898019,-2.056183895624797e-06,488281.2499999999,0.0005151314670059167,-8.610756180200607e-07,488281.2499999999,0.0002873619020510343,-1.578408100826108e-06,488281.2499999999,8.872604955465407e-05,-1.950831080747339e-06
610351.5624999999,4.893982882564151e-07,-2.594951161317337e-06,610351.5624999999,6.566190922302451e-05,9.388663551324477e-05,610351.5624999999,0.0002389948625102583,2.016498495339137e-05,610351.5624999999,0.0004795233137379511,5.535928827883145e-05,610351.5624999999,0.0006392044828628175,3.892094368697675e-05,610351.5624999999,0.0006980663563750774,0.0001337369370933868,610351.5624999999,0.0006602336130617705,-2.316564307951754e-05,610351.5624999999,0.0005143711922296287,-1.97347529304215e-08,610351.5624999999,0.0002866662083578141,0.0001514595437396463,610351.5624999999,7.737734548609525e-05,9.246885155500694e-05
732421.8749999999,-6.332370979100758e-06,-1.008003919180642e-06,732421.8749999999,5.838999457456789e-05,-2.209062887426383e-06,732421.8749999999,0.0002393403714490445,1.483983505516239e-06,732421.8749999999,0.0004743800467200457,-3.406372533108297e-06,732421.8749999999,0.0006346227209302394,-2.247598285636884e-06,732421.8749999999,0.0006973225919175926,-8.277615376142281e-07,732421.8749999999,0.0006579999567574308,-8.283156799812402e-07,732421.8749999999,0.0005070305176951769,1.927052145830606e-07,732421.8749999999,0.0002747200328518822,-3.159796212652235e-07,732421.8749999999,7.645997283109805e-05,-1.978895856080867e-06
854492.1874999999,3.912103737279667e-06,-5.635460239326467e-05,854492.1874999999,7.572410622279665e-05,-3.157481732308017e-05,854492.1874999999,0.0002331242551223713,-0.0001578476644069459,854492.1874999999,0.0004797309282921635,-9.93825670732244e-05,854492.1874999999,0.0006394096083541061,5.369653321641348e-05,854492.1874999999,0.0006955999833030777,2.200268157048493e-05,854492.1874999999,0.0006593886157932249,-0.0001388577679432238,854492.1874999999,0.0005105811791583697,-0.0001419685976959003,854492.1874999999,0.0002886012091400021,0.0001074499949852811,854492.1874999999,7.29484221105474e-05,0.0001197845068802464
976562.4999999999,-1.967152633681419e-05,1.992311758559682e-05,976562.4999999999,9.207287378860631e-05,-5.119406886760692e-06,976562.4999999999,0.0002394166131706254,-1.978781798966312e-06,976562.4999999999,0.0004848505977215433,-5.244134032209797e-06,976562.4999999999,0.0006484576700486048,4.266268950046935e-07,976562.4999999999,0.0007182267942213178,-2.868770460512171e-06,976562.4999999999,0.0006715364769277495,-1.361583268570601e-06,976562.4999999999,0.000526227502103415,2.695735011523856e-06,976562.4999999999,0.0002868222670438385,-6.206159925753082e-07,976562.4999999999,8.641618179371427e-05,-4.440892770290554e-07
1098632.8125,-1.83845175906887e-05,0.0001609117545188826,1098632.8125,9.754722847486056e-05,0.0001194074688364135,1098632.8125,0.0002275189126160142,2.588192597996159e-05,1098632.8125,0.0004814078655064913,2.22510818649798e-05,1098632.8125,0.0006487863455201323,0.0002091106351635346,1098632.8125,0.000695494034924256,-2.824631687028671e-05,1098632.8125,0.0006577436631859811,2.216951786266895e-05,1098632.8125,0.0005172468065060328,9.737027739777822e-05,1098632.8125,0.0002939061262620888,6.273635966982393e-05,1098632.8125,8.289038967889886e-05,0.0001224067274574988
